user_name,bid_no,name_of_work,category,department_name,quantity,emd,exemption_allowed,estimation_value,state,location,apply_mode,website_link,document_link,attachment_link,end_date
mahi,GEM/2025/B/6445602,"Gear head (without motor) Ratio: - 54.6: 1, mounting: BD suitable B5 motor for 2.2KW, 4 pole, 100L ",,PMO - Department of Atomic Energy,2,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8080943,https://bidplus.gem.gov.in/showbidDocument/8080943,02-08-2025 09:00:00
mahi,GEM/2025/B/6445291,"Splash Skirt BPC Rubber, C4899-BPC",,PMO - Department of Atomic Energy,8,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8080590,https://bidplus.gem.gov.in/showbidDocument/8080590,02-08-2025 09:00:00
mahi,GEM/2025/B/6445180,Fabrication and supply of platinum dishes,,PMO - Department of Atomic Energy,10,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8080463,https://bidplus.gem.gov.in/showbidDocument/8080463,02-08-2025 10:00:00
mahi,GEM/2025/B/6439088,Custom Bid for Services - Supply & Installation of U- Shaped Conference table and Chairs For Vijaya,,Ministry of Petroleum and Natural Gas - Bharat Petroleum Corporation Ltd,1,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8073596,https://bidplus.gem.gov.in/showbidDocument/8073596,02-08-2025 14:00:00
mahi,GEM/2025/B/6477652,"Entry and Mid Level Desktop Computer,Multifunction Machine MFM (V2),Online UPS (V2)",, - School Education Department Andhra Pradesh,1086,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8117562,https://bidplus.gem.gov.in/showbidDocument/8117562,02-08-2025 17:00:00
mahi,GEM/2025/B/6469439,Surgical Face Mask (V4),,Department of Space - Department of Space,120000,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8108092,https://bidplus.gem.gov.in/showbidDocument/8108092,02-08-2025 18:00:00
mahi,GEM/2025/B/6332819,"Manpower Outsourcing Services - Minimum wage - Skilled; ITI; Others,Manpower Outsourcing Services -",,Ministry of Defence - Department of Military Affairs,7,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/7953689,https://bidplus.gem.gov.in/showbidDocument/7953689,02-08-2025 12:00:00
mahi,GEM/2025/B/6446163,Custom Bid for Services - Hiring of passenger vehicles on Regular Basis and On call Basis for a per,,Ministry of Petroleum and Natural Gas - OIL INDIA Limited,1,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8081579,https://bidplus.gem.gov.in/showbidDocument/8081579,02-08-2025 14:00:00
mahi,GEM/2025/B/6446101,"Title1,Title2,Title3,Title4,Title5,Title6",,PMO - Department of Atomic Energy,15,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8081504,https://bidplus.gem.gov.in/showbidDocument/8081504,02-08-2025 09:00:00
mahi,GEM/2025/B/6445969,Varnishes or Shellac Varnish as per IS 347,,PMO - Department of Atomic Energy,60,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8081359,https://bidplus.gem.gov.in/showbidDocument/8081359,02-08-2025 09:00:00
mahi,GEM/2025/B/6445889,Supply of Complete set of flocculant transfer pump with Motor,,PMO - Department of Atomic Energy,3,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8081265,https://bidplus.gem.gov.in/showbidDocument/8081265,02-08-2025 09:00:00
mahi,GEM/2025/B/6445717,Wear resistant Blind deck panels for teritary screen,,PMO - Department of Atomic Energy,4,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8081070,https://bidplus.gem.gov.in/showbidDocument/8081070,02-08-2025 09:00:00
mahi,GEM/2025/B/6445602,"Gear head (without motor) Ratio: - 54.6: 1, mounting: BD suitable B5 motor for 2.2KW, 4 pole, 100L ",,PMO - Department of Atomic Energy,2,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8080943,https://bidplus.gem.gov.in/showbidDocument/8080943,02-08-2025 09:00:00
mahi,GEM/2025/B/6445291,"Splash Skirt BPC Rubber, C4899-BPC",,PMO - Department of Atomic Energy,8,,,,ANDHRA PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8080590,https://bidplus.gem.gov.in/showbidDocument/8080590,02-08-2025 09:00:00
